Gene_name	mRNA_peak_zone	mRNA_center_of_mass_0_1_scaled	Proteim_coefficient_of_variation_mean	Proteim_coefficient_of_variation_median
Arhgap17	6	0.561392405063291	0.338857034655073	0.279315137728632
Arhgap18	4	0.461475409836066	0.491539742024486	0.517912240375691
Arhgap26	4	0.458100558659218	1	1
Arhgdia	3	0.519972640218878	0.0887721321773399	0.0706611766855166
Arhgef16	6	0.598310810810811	0.163785096501846	0.127407172809283
Arhgef5	6	0.651807228915663	0.811953193223091	0.747120956770489
Arhgef7	6	0.535185185185185	0.973205080756888	1
Arid1a	2	0.468421052631579	0.973205080756888	1
Arih1	6	0.524705882352941	0.973205080756888	1
Arl1	2	0.425263157894737	0.384333127498496	0.396462022941878
Arl2	2	0.391836734693878	0.559210617419938	0.499260821215829
Arl6ip1	2	0.387044534412955	0.97767090063074	1
Arl6ip5	1	0.36	0.601326655133542	0.601829168103242
Arl8b	3	0.40314465408805	0.287368595155948	0.197895773022435
Armc1	3	0.360869565217391	0.250720976447663	0.234887769862506
Armc10	1	0.2	0.25197120370459	0.235108481597401
Arpc1b	1	0.473352112676056	0.0898935271376151	0.0994837508708731
Arpc2	3	0.496669931439765	0.0737610754452649	0.0778016374439024
Arpc3	1	0.454499366286439	0.209194659701278	0.190050810714239
Arpc4	1	0.470442477876106	0.14997571780407	0.153198584329184
Arpc5	1	0.456047197640118	0.196366200957213	0.203757188577873
Arpc5l	1	0.361864406779661	NaN	NaN
Arpin	2	0.463380281690141	0.245017012997792	0.245473763301799
Arrb1	4	0.490322580645161	0.425149452866203	0.42047528518954
As3mt	1	0.223958333333333	0.116863040781424	0.112269630047611
Asah2	4	0.453800298062593	0.166646666293403	0.20779366950918
Asap2	6	0.639024390243903	0.381186108946551	0.35281280412061
Ascc2	6	0.546268656716418	0.973205080756888	1
Ascl3	6	0.76	1	1
Asl	4	0.517777777777778	0.261862282831483	0.238260000894945
Asna1	2	0.414925373134328	0.37607363964299	0.338362123196277
Aspa	3	0.469718309859155	0.537426094917265	0.46972227703644
Aspscr1	5	0.508309455587393	0.870546271454351	1
Atad1	1	0.385576923076923	0.184096845992225	0.132882694095558
Atf3	6	0.9573385518591	1	1
Atg2a	6	0.67972027972028	0.728767530882496	0.617411740794532
Atg3	4	0.51358024691358	0.60432131877776	0.668128734200132
Atg4b	5	0.568211920529801	0.843831407708497	1
Atic	1	0.106666666666667	0.0733963876733108	0.0645364049759419
Atl2	4	0.539559286463799	0.302565143787729	0.286322301104361
Atl3	1	0.353191489361702	1	1
Atox1	2	0.389652317880795	0.666028532320721	0.589859965271063
Atp13a1	1	0.335384615384615	0.104703786905567	0.0653365762913329
Atp1a1	2	0.382543640897756	0.0972082459128452	0.095627479165611
Atp1b1	2	0.360385878489327	0.0941690169521917	0.0812982264978796
Atp1b3	1	0.412	1	1
Atp2a2	1	0.330205278592375	0.100395841654114	0.084125054200304
Atp2b1	2	0.469393511988717	0.132488716127811	0.0795112330800663
Atp2c1	1	0.376	0.659305931287483	0.630561393704
Atp5a1	1	0.32303664921466	0.0537431863183223	0.0507719289915091
Atp5b	2	0.388531972380667	0.0987509409837052	0.0747473853647909
Atp5c1	1	0.293866866118175	0.069185436084916	0.054923903957966
Atp5d	1	0.413502538071066	0.11985832279432	0.132385093423982
Atp5e	1	0.37956526536467	0.124872066521627	0.0990487367963796
Atp5f1	1	0.343514259429623	0.0747649325034849	0.0809930985905271
Atp5g3	2	0.342571951422392	0.662451339487585	0.62435036122855
Atp5h	1	0.360316622691293	0.152588227443885	0.118034808212772
Atp5j	1	0.367056955745188	0.460980960277246	0.376919408489113
Atp5j2	1	0.35694740805824	0.155775402121474	0.135177498080251
Atp5l	1	0.304486402217218	0.208521041746171	0.183084732225209
Atp5o	2	0.350619289340102	0.0721132326521283	0.0676730059419911
Atp6v0a1	4	0.538095238095238	0.911783339338932	1
Atp6v0a2	1	0.417696160267112	0.175273727524787	0.162190697395941
Atp6v0d1	3	0.448648648648649	0.279112687469711	0.261982414441773
Atp6v1a	3	0.390070921985816	0.0896259917694695	0.107353541670894
Atp6v1b2	3	0.50077519379845	0.0941936912573781	0.0803156460102854
Atp6v1c1	3	0.394594594594595	0.351582848316107	0.28275565389314
Atp6v1d	3	0.498507462686567	0.96650635094611	1
Atp6v1e1	2	0.450746268656717	0.472455024694138	0.370514028927683
Atp6v1f	1	0.407029876977153	0.97767090063074	1
Atp6v1g1	2	0.490749756572541	0.250661350325267	0.23257498853789
Atp6v1h	1	0.481481481481482	0.203845930927589	0.179063433950527
Atp7a	5	0.54468085106383	0.910405923025754	1
Atp8b1	4	0.527551020408163	0.188138786787009	0.167948518205863
Atpaf2	1	0.351724137931035	0.59318446511654	0.625918631829582
Atpif1	1	0.295464152170379	0.550753508542897	0.577392906414783
Atxn2l	5	0.610891089108911	0.288437431937189	0.214908385793115
Auh	2	0.345454545454546	0.200020180938314	0.151301616159481
Aup1	3	0.447967479674797	0.244233969236468	0.204361188622816
B2m	3	0.539560912613	0.185584527758142	0.146185876270915
B4galnt1	1	0.376971608832808	0.122320879560245	0.123845029528136
B4galnt2	3	0.465625	0.0872531715433495	0.0756778889065036
B4galt1	4	0.523210412147506	0.53644711585891	0.40103796715487
Babam1	1	0.450224215246637	0.681943536045445	0.618898154146096
Bag1	1	0.353290870488323	0.297577500455091	0.266263527372378
Bag3	6	0.566839378238342	1	1
Bag4	3	0.380821917808219	1	1
Bag6	3	0.492307692307692	0.835163691031414	0.876091392016226
Baiap2l1	6	0.559243085880641	0.197288618225409	0.178444076902773
Baiap2l2	1	0.356010230179028	1	1
Bak1	4	0.505386416861827	0.108663833733543	0.104940508839677
Banf1	1	0.306873614190687	0.470657524813059	0.499612148828838
Bax	1	0.347321428571429	0.159936680777275	0.178732727887022
Baz1b	3	0.405504587155963	0.712499756943722	0.616044443520114
Bcap31	2	0.402006688963211	0.287840211157221	0.284062751346339
Bcar1	6	0.676384839650146	0.689582762309839	0.588781276285594
Bcas2	1	0.2912	1	1
Bche	1	0.27134724857685	0.177739494833994	0.17044834763272
Bckdha	3	0.385416666666667	1	1
Bcl2l1	6	0.596907216494845	0.97767090063074	1
Bcl2l13	1	0.281632653061224	0.0862956257465426	0.0765734670957861
Bcl2l15	1	0.032258064516129	0.547469460199771	0.381852394830881
Bclaf1	1	0.420289855072464	0.384324989259831	0.386314450166491
Bco2	3	0.318918918918919	0.293724482514982	0.188636335356257
Bcs1l	1	0.215384615384615	0.647010773898126	0.597189445278227
Bdh1	1	0.331034482758621	0.221909130871797	0.220639861842837
Bet1	2	0.384474885844749	NaN	NaN
Bet1l	6	0.576076555023924	1	1
Birc6	1	0.374285714285714	1	1
Blmh	2	0.321276595744681	0.63881221557503	0.591595410936257
Blvra	1	0.347222222222222	0.0777581435072155	0.0811778541216365
Blvrb	1	0.334597156398104	1	1
Bnip1	1	0.327868852459016	0.489876096637324	0.490533891787352
Bphl	1	0.208510638297872	0.150304436004469	0.0965159799365758
Bpnt1	2	0.313620071684588	0.0905188504695878	0.0907976077223042
Brca2	1	0.5	1	1
Brcc3	2	0.323076923076923	0.74880943405244	0.708022723685552
Bri3bp	1	0.268	0.204940232783705	0.163224623548924
Brox	2	0.500398406374502	0.18725679146457	0.143724240723998
Bsdc1	3	0.48974358974359	0.705366636295008	0.713269480996457
Bsg	1	0.363125605424604	0.0586316389486292	0.057602364684501
Btf3	1	0.298659139026111	0.209035775846193	0.195177219738311
Btnl1	3	0.471597633136095	0.200384883132844	0.152089144686586
Btnl2	3	0.506849315068493	0.171535143932972	0.134414108151341
Bzw1	1	0.426041666666667	0.214230173631423	0.183228941660167
Bzw2	1	0.180952380952381	0.435279513306899	0.377442715796415
C1galt1	6	0.551111111111111	0.163485476231488	0.135396188143023
C1qbp	1	0.113207547169811	0.15201025228604	0.160445508371774
C2cd2l	6	0.551885098743268	0.345059743461851	0.268329725798197
Cab39	6	0.602650602409639	0.454528048393506	0.443866644985047
Cacybp	1	0.272992700729927	0.285234264195272	0.24341422700486
Cad	1	0.2	0.905592796212538	1
Calml4	2	0.428064066852368	0.147182691328729	0.136538374460444
Calr	1	0.282368082368082	0.0996663936710579	0.0977876457141156
Calu	2	0.471028037383178	0.150371030548146	0.156539591757921
Camk1d	1	0.275739644970414	0.571022919451717	0.58727894327964
Camk2d	1	0.452474108170311	0.170014066234832	0.168617218627082
Camsap3	6	0.595180722891566	0.830515851742052	0.851417726550661
Cand1	4	0.460402684563758	0.122878627916971	0.0966106873099595
Cant1	4	0.460410557184751	0.495034133396402	0.392404777332946
Canx	1	0.229824561403509	0.0735772646041201	0.0749459015169182
Cap1	6	0.526829268292683	0.112616144070577	0.110067453757401
Capg	6	0.828571428571429	0.551403612238006	0.520780809223046
Capn1	3	0.514193548387097	0.106165545855134	0.0830630202705816
Capn13	1	0.0666666666666667	1	1
Capns1	6	0.550455373406193	0.181050954678014	0.196934477595733
Caprin1	1	0.397	0.154810818130392	0.148379164745609
Capza1	3	0.474747474747475	0.121566832656099	0.0914140047817718
Capza2	3	0.491139240506329	0.0755964918954536	0.0766391108479959
Capzb	1	0.488494077834179	0.0888678341912117	0.0799408045150181
Carhsp1	1	0.366937669376694	0.97767090063074	1
Carkd	1	0.450862068965517	0.214550166032051	0.165512874913254
Cars2	1	0.304	0.973205080756888	1
Cask	1	0.414634146341463	0.362388525603757	0.233591178012342
Casp1	1	0.284146341463415	0.0908219157342277	0.0918300888752993
Casp3	3	0.373170731707317	0.174666238199988	0.151998777763692
Casp6	1	0.272040302267003	0.155445165650406	0.173600766665282
Casp7	2	0.412719298245614	0.151970568803234	0.0843662071126531
Casp8	6	0.613615733736762	0.124728781180676	0.0999816116510899
Cast	6	0.762857142857143	0.169681260371485	0.158583995472692
Casz1	5	0.501793721973094	0.134308163832576	0.132040231096507
Cat	2	0.391024987251402	0.0877453236370651	0.0669495972231914
Cbr1	2	0.340369799691834	0.0766264732011698	0.06252731818075
Cbr4	1	0.271428571428571	0.715882994244289	0.695488561569181
Cbx1	1	0.32962962962963	0.272458424338953	0.29721204847652
Cbx3	1	0.356521739130435	0.20585950522777	0.187852156954589
Cbx4	2	0.341666666666667	1	1
Cbx5	1	0.313846153846154	0.97767090063074	1
Ccar1	3	0.406535947712418	0.117308379804106	0.0760437948897947
Ccar2	1	0.360975609756098	0.117813027676144	0.113094806553053
Ccdc134	1	0.175	0.47922407192786	0.489237238951897
Ccdc47	1	0.370305676855895	0.120511793448517	0.0953604469966572
Ccdc51	1	0.304761904761905	0.183096847176504	0.162905313046677
Ccdc6	6	0.536111111111111	0.308099940702984	0.265435165392017
Ccdc90b	5	0.514685314685315	0.751761163906507	0.860849701574733
Ccdc91	1	0.294594594594595	1	1
Ccdc93	4	0.429411764705882	1	1
Ccl25	1	0.252641975308642	0.973205080756888	1
Ccs	1	0.271823204419889	0.278833291762646	0.187076388296017
Cct2	1	0.306072874493927	0.076158031781082	0.0757156640280515
Cct3	1	0.295588235294118	0.161433846043121	0.136232648013555
Cct4	1	0.313664596273292	0.052906528099896	0.0474404554862484
Cct5	1	0.339090909090909	0.100317308993806	0.0907606198127421
Cct6a	1	NaN	0.118702396833022	0.110158744741347
Cct7	1	0.41328125	0.143213674657199	0.128328230478688
Cct8	1	0.308	0.0787587319265244	0.0722237948241796
Ccz1	1	0.398787878787879	0.203883481753852	0.155445644023471
Cd2ap	1	0.388383045525903	0.281127415690598	0.242986298034705
Cd2bp2	6	0.536134453781513	0.866025403784438	0.866025403784438
Cd302	3	0.291484184914842	1	1
Cd36	3	0.463551401869159	0.327526673938172	0.268318736380111
Cd38	1	0.2046875	0.319330325628208	0.240140442604334
Cd47	2	0.374496644295302	0.376707258324319	0.432425262317677
Cd74	4	0.497261015481217	0.274287667094498	0.302507500812274
Cd82	6	0.582647718773373	0.208126842886141	0.209901241849402
Cda	2	0.418432122370937	0.210192794949133	0.219898849109032
Cdc27	2	0.416	1	1
Cdc37	1	0.397945205479452	0.163517278978999	0.149096811104286
Cdc42	3	0.452645502645503	0.0900768700365578	0.091439219523764
Cdc42bpb	6	0.64	0.291142899755741	0.269238450698889
Cdc5l	1	0.4	0.168499055880971	0.157544231318842
Cdh1	6	0.576832460732984	0.147263550492101	0.150449639501975
Cdh17	3	0.478580872631115	0.0616069890123278	0.0558777046435559
Cdhr2	6	0.662956014175526	0.210935484891848	0.202773338688054
Cdhr5	5	0.579045331732213	0.225289466535832	0.191456725675636
Cdipt	4	0.544619799139168	0.129007456376771	0.123793293929494
Cdk1	4	0.4	0.893158877147084	1
Cdk11b	5	0.610669975186104	0.542145855312291	0.49456686588499
Cdk5rap3	2	0.446753246753247	0.22847026176354	0.190995850387633
Cdkl2	5	0.442105263157895	0.97767090063074	1
Cdkn2aip	2	0.44	0.146776214649919	0.129994586085787
Cds1	1	0.391152815013405	0.502835934536038	0.432088529205798
Cds2	5	0.512820512820513	0.17743683829999	0.189875671143889
Cdv3	1	0.336271186440678	0.19576968001286	0.194634831984426
Ceacam2	1	0.428571428571429	0.12674883627191	0.132416975714755
Ceacam20	6	0.673233404710921	0.375760619353446	0.276113552336263
Cela1	5	0.45	0.622039789482261	0.615148689944681
Celf1	1	0.461758691206544	0.653044179931468	0.61733636772693
Celsr1	3	0.5	1	1
Celsr2	1	NaN	0.915733878178549	1
Cenpv	2	0.342592592592593	0.0989853585486969	0.102746797176455
Cep290	1	0.333333333333333	0.700229610027579	0.611757833535473
Cep70	2	0.34	1	1
Cep97	1	0	1	1
Cers2	3	0.433424657534247	0.349273738258677	0.353725396012033
Ces1d	2	0.283478260869565	0.286827014357416	0.258081780911342
Ces1e	1	0.189473684210526	0.501532830833708	0.438840473676462
Ces1f	2	0.248087431693989	0.315839909695861	0.296248479810522
Ces2a	3	0.552249488752556	0.311059066716354	0.287498934443931
Ces2c	5	0.53125	0.273000291342882	0.238201581729576
Ces2e	2	0.45472597299444	0.101569913419419	0.10464354678349
Cfdp1	1	0.32	0.692378047174472	0.593174041921222
Cfl1	3	0.463122075712463	0.141603310035237	0.128591636396655
Cfl2	1	0.415652173913043	0.79562558632536	0.800137239027679
Cgn	6	0.614759036144578	0.0770141162974877	0.0459908630968583
Cgref1	4	0.565222316624186	0.368039937978169	0.367371954531505
Chchd1	1	0.322448979591837	1	1
Chchd3	1	0.3	0.0838093581455103	0.0929740720128298
Chchd4	1	0.35031847133758	0.149457539586707	0.0931471539742454
Chchd6	1	0.228571428571429	0.768473782926394	0.727466717771031
Chchd7	2	0.334206219312602	0.347561167755057	0.352095088274254
Chd2	6	0.63954802259887	0.704757077171081	0.65053489974747
Chd4	2	0.427619047619048	0.351211641431124	0.371081528991649
Chd7	1	0.479674796747967	1	1
Chdh	1	0.351851851851852	0.0936178241702192	0.102436830010831
Cherp	3	0.353125	0.209443216011252	0.133943937432154
Chid1	1	0.3625	0.529736270937677	0.544791700066661
Chkb	5	0.555045871559633	0.301674784053684	0.242170903955079
Chmp1a	6	0.593205317577548	0.493033917763852	0.477635367272879
Chmp2a	6	0.578457059679767	0.18145720231822	0.163375612951165
Chmp2b	3	0.528974069898534	0.286849964565989	0.19214982847907
Chmp3	3	0.494468085106383	0.661134564950536	0.612906770927474
Chmp4b	6	0.601003344481605	0.15395955486932	0.159707584344107
Chmp4c	6	0.506231454005935	0.784639244430419	0.773977867600371
